      Step     Time          Energy          fmax
FIRE:    0 20:36:01        2.033998        0.095287
      Step     Time          Energy          fmax
FIRE:    0 20:36:15       58.786385        0.384849
FIRE:    1 20:36:15       58.562110        0.368151
FIRE:    2 20:36:15       58.162332        0.334311
FIRE:    3 20:36:16       57.678223        0.281180
FIRE:    4 20:36:16       57.228211        0.207313
FIRE:    5 20:36:16       56.929426        0.114445
FIRE:    6 20:36:17       56.844635        0.165756
FIRE:    7 20:36:17       56.838719        0.163243
FIRE:    8 20:36:17       56.827214        0.158279
FIRE:    9 20:36:18       56.810747        0.150995
FIRE:   10 20:36:18       56.790181        0.141582
FIRE:   11 20:36:18       56.766538        0.130301
FIRE:   12 20:36:19       56.740894        0.117473
FIRE:   13 20:36:19       56.714272        0.103484
FIRE:   14 20:36:20       56.684741        0.087195
