      Step     Time          Energy          fmax
FIRE:    0 23:32:32   -22508.386719        2.006366
FIRE:    1 23:32:35   -22516.839844        1.864135
FIRE:    2 23:32:37   -22524.841797        1.728914
FIRE:    3 23:32:39   -22532.410156        1.600507
FIRE:    4 23:32:42   -22539.554688        1.478802
FIRE:    5 23:32:44   -22546.298828        1.363691
FIRE:    6 23:32:47   -22552.648438        1.254977
FIRE:    7 23:32:49   -22558.621094        1.152551
FIRE:    8 23:32:52   -22564.232422        1.056343
FIRE:    9 23:32:54   -22569.505859        0.966205
FIRE:   10 23:32:56   -22574.441406        0.911390
FIRE:   11 23:32:59   -22579.062500        0.863527
FIRE:   12 23:33:01   -22583.382812        0.816534
FIRE:   13 23:33:03   -22587.417969        0.770368
FIRE:   14 23:33:06   -22591.179688        0.730766
FIRE:   15 23:33:08   -22594.687500        0.692286
FIRE:   16 23:33:11   -22597.958984        0.653417
FIRE:   17 23:33:13   -22600.992188        0.614223
FIRE:   18 23:33:15   -22603.814453        0.574755
FIRE:   19 23:33:18   -22606.437500        0.547874
FIRE:   20 23:33:20   -22608.869141        0.526983
FIRE:   21 23:33:23   -22611.128906        0.505594
FIRE:   22 23:33:25   -22613.226562        0.483680
FIRE:   23 23:33:27   -22615.164062        0.461218
FIRE:   24 23:33:30   -22616.966797        0.438185
FIRE:   25 23:33:32   -22618.630859        0.414560
FIRE:   26 23:33:35   -22620.167969        0.390332
FIRE:   27 23:33:37   -22621.583984        0.365495
FIRE:   28 23:33:39   -22622.886719        0.340037
FIRE:   29 23:33:42   -22624.078125        0.313961
FIRE:   30 23:33:44   -22625.167969        0.296006
FIRE:   31 23:33:47   -22626.150391        0.279758
FIRE:   32 23:33:49   -22627.029297        0.262651
FIRE:   33 23:33:51   -22627.816406        0.244833
FIRE:   34 23:33:54   -22628.501953        0.226481
FIRE:   35 23:33:56   -22629.097656        0.207783
FIRE:   36 23:33:59   -22629.607422        0.189099
FIRE:   37 23:34:01   -22630.039062        0.173323
FIRE:   38 23:34:03   -22630.402344        0.163821
FIRE:   39 23:34:06   -22630.703125        0.160547
FIRE:   40 23:34:08   -22630.943359        0.156546
FIRE:   41 23:34:11   -22631.140625        0.151806
FIRE:   42 23:34:13   -22631.292969        0.146328
FIRE:   43 23:34:15   -22631.410156        0.140117
FIRE:   44 23:34:18   -22631.498047        0.133681
FIRE:   45 23:34:20   -22631.558594        0.134562
FIRE:   46 23:34:22   -22631.597656        0.148900
FIRE:   47 23:34:25   -22632.074219        0.116888
FIRE:   48 23:34:27   -22632.394531        0.111649
FIRE:   49 23:34:30   -22632.601562        0.104480
FIRE:   50 23:34:32   -22632.718750        0.096920
FIRE:   51 23:34:34   -22632.775391        0.093091
FIRE:   52 23:34:37   -22632.804688        0.092011
FIRE:   53 23:34:39   -22632.878906        0.094780
FIRE:   54 23:34:42   -22632.970703        0.098679
FIRE:   55 23:34:44   -22633.027344        0.100432
FIRE:   56 23:34:46   -22633.062500        0.099797
FIRE:   57 23:34:49   -22633.101562        0.097650
FIRE:   58 23:34:51   -22633.164062        0.093692
FIRE:   59 23:34:54   -22633.232422        0.086904
FIRE:   60 23:34:56   -22633.283203        0.074733
FIRE:   61 23:34:58   -22633.308594        0.067361
FIRE:   62 23:35:01   -22633.326172        0.072453
FIRE:   63 23:35:03   -22633.351562        0.075717
FIRE:   64 23:35:06   -22633.378906        0.075141
FIRE:   65 23:35:08   -22633.404297        0.089189
FIRE:   66 23:35:10   -22633.417969        0.081618
FIRE:   67 23:35:13   -22633.439453        0.055319
FIRE:   68 23:35:15   -22633.455078        0.101156
FIRE:   69 23:35:18   -22633.466797        0.218983
FIRE:   70 23:35:20   -22633.468750        0.343343
FIRE:   71 23:35:22   -22633.476562        0.145036
FIRE:   72 23:35:25   -22633.478516        0.135536
FIRE:   73 23:35:27   -22633.478516        0.114834
FIRE:   74 23:35:29   -22633.480469        0.081249
FIRE:   75 23:35:32   -22633.482422        0.045936
FIRE:   76 23:35:34   -22633.484375        0.046086
FIRE:   77 23:35:37   -22633.484375        0.082545
FIRE:   78 23:35:39   -22633.484375        0.104013
FIRE:   79 23:35:41   -22633.486328        0.103413
FIRE:   80 23:35:44   -22633.488281        0.078286
FIRE:   81 23:35:46   -22633.490234        0.047944
FIRE:   82 23:35:49   -22633.492188        0.048692
FIRE:   83 23:35:51   -22633.494141        0.071166
FIRE:   84 23:35:53   -22633.494141        0.061056
FIRE:   85 23:35:56   -22633.496094        0.047611
FIRE:   86 23:35:58   -22633.500000        0.072889
FIRE:   87 23:36:01   -22633.507812        0.056694
FIRE:   88 23:36:03   -22633.511719        0.056352
FIRE:   89 23:36:05   -22633.513672        0.063162
FIRE:   90 23:36:08   -22633.523438        0.056028
FIRE:   91 23:36:10   -22633.529297        0.045056
FIRE:   92 23:36:12   -22633.535156        0.081209
FIRE:   93 23:36:15   -22633.544922        0.074478
FIRE:   94 23:36:17   -22633.550781        0.074413
FIRE:   95 23:36:20   -22633.558594        0.078785
FIRE:   96 23:36:22   -22633.570312        0.219123
FIRE:   97 23:36:24   -22633.560547        0.568895
FIRE:   98 23:36:27   -22633.580078        0.074619
FIRE:   99 23:36:29   -22633.580078        0.056621
FIRE:  100 23:36:32   -22633.580078        0.026259
