      Step     Time          Energy          fmax
FIRE:    0 22:27:14   -22622.175781        0.512280
FIRE:    1 22:27:16   -22622.226562        0.456613
FIRE:    2 22:27:19   -22622.328125        0.361369
FIRE:    3 22:27:21   -22622.445312        0.249931
FIRE:    4 22:27:23   -22622.568359        0.234080
FIRE:    5 22:27:26   -22622.699219        0.239148
FIRE:    6 22:27:28   -22622.820312        0.242981
FIRE:    7 22:27:31   -22622.945312        0.255380
FIRE:    8 22:27:33   -22623.087891        0.254068
FIRE:    9 22:27:35   -22623.251953        0.270670
FIRE:   10 22:27:38   -22623.457031        0.294034
FIRE:   11 22:27:40   -22623.656250        0.319366
FIRE:   12 22:27:43   -22623.873047        0.344576
FIRE:   13 22:27:46   -22624.095703        0.367807
FIRE:   14 22:27:49   -22624.316406        0.386462
FIRE:   15 22:27:51   -22624.535156        0.397616
FIRE:   16 22:27:54   -22624.751953        0.399054
FIRE:   17 22:27:56   -22624.970703        0.390828
FIRE:   18 22:27:59   -22625.177734        0.375668
FIRE:   19 22:28:01   -22625.392578        0.357534
FIRE:   20 22:28:03   -22625.601562        0.339782
FIRE:   21 22:28:06   -22625.810547        0.323500
FIRE:   22 22:28:08   -22626.015625        0.305282
FIRE:   23 22:28:11   -22626.222656        0.275988
FIRE:   24 22:28:13   -22626.412109        0.222825
FIRE:   25 22:28:15   -22626.605469        0.226554
FIRE:   26 22:28:18   -22626.769531        0.237463
FIRE:   27 22:28:20   -22626.927734        0.247001
FIRE:   28 22:28:23   -22627.080078        0.254694
FIRE:   29 22:28:25   -22627.238281        0.260029
FIRE:   30 22:28:27   -22627.404297        0.262657
FIRE:   31 22:28:30   -22627.576172        0.262604
FIRE:   32 22:28:32   -22627.742188        0.260007
FIRE:   33 22:28:35   -22627.908203        0.254991
FIRE:   34 22:28:37   -22628.068359        0.247472
FIRE:   35 22:28:40   -22628.222656        0.237184
FIRE:   36 22:28:42   -22628.357422        0.223825
FIRE:   37 22:28:45   -22628.492188        0.207227
FIRE:   38 22:28:47   -22628.623047        0.187399
FIRE:   39 22:28:50   -22628.746094        0.167588
FIRE:   40 22:28:52   -22628.867188        0.165282
FIRE:   41 22:28:55   -22628.986328        0.179041
FIRE:   42 22:28:57   -22629.097656        0.192821
FIRE:   43 22:29:00   -22629.210938        0.205806
FIRE:   44 22:29:02   -22629.308594        0.216816
FIRE:   45 22:29:05   -22629.412109        0.224015
FIRE:   46 22:29:07   -22629.503906        0.224407
FIRE:   47 22:29:10   -22629.595703        0.231507
FIRE:   48 22:29:12   -22629.683594        0.210950
FIRE:   49 22:29:14   -22629.753906        0.160529
FIRE:   50 22:29:17   -22629.806641        0.211023
FIRE:   51 22:29:19   -22629.839844        0.246099
FIRE:   52 22:29:22   -22629.859375        0.255916
FIRE:   53 22:29:24   -22629.990234        0.121926
FIRE:   54 22:29:26   -22630.050781        0.132753
FIRE:   55 22:29:29   -22630.097656        0.102202
FIRE:   56 22:29:31   -22630.128906        0.100665
FIRE:   57 22:29:34   -22630.160156        0.135652
FIRE:   58 22:29:36   -22630.187500        0.093244
FIRE:   59 22:29:38   -22630.214844        0.080091
FIRE:   60 22:29:42   -22630.220703        0.054924
FIRE:   61 22:29:44   -22630.230469        0.053824
FIRE:   62 22:29:46   -22630.236328        0.050939
FIRE:   63 22:29:49   -22630.244141        0.032490
FIRE:   64 22:29:51   -22630.250000        0.027828
