      Step     Time          Energy          fmax
FIRE:    0 15:42:51       40.534110        0.376963
FIRE:    1 15:42:51       40.383891        0.360151
FIRE:    2 15:42:51       40.117353        0.325679
FIRE:    3 15:42:52       39.797383        0.272251
FIRE:    4 15:42:52       39.504581        0.199049
      Step     Time          Energy          fmax
FIRE:    0 16:03:44      156.806109        1.098809
FIRE:    1 16:03:45      150.546426        1.022157
FIRE:    2 16:03:45      144.563097        0.949923
FIRE:    3 16:03:45      138.847922        0.888151
FIRE:    4 16:03:45      133.392851        0.835257
FIRE:    5 16:03:46      128.189980        0.784944
FIRE:    6 16:03:46      123.231547        0.737080
FIRE:    7 16:03:46      118.509920        0.691538
FIRE:    8 16:03:46      114.017288        0.648236
FIRE:    9 16:03:47      109.745944        0.607075
FIRE:   10 16:03:47      105.688274        0.576641
FIRE:   11 16:03:47      101.836768        0.555109
FIRE:   12 16:03:47       98.184011        0.533511
FIRE:   13 16:03:48       94.722681        0.511857
FIRE:   14 16:03:48       91.445538        0.490158
FIRE:   15 16:03:48       88.345413        0.468430
FIRE:   16 16:03:49       85.415206        0.446693
FIRE:   17 16:03:49       82.647880        0.424970
FIRE:   18 16:03:49       80.036456        0.403288
FIRE:   19 16:03:49       77.574020        0.381679
FIRE:   20 16:03:50       75.253728        0.360178
FIRE:   21 16:03:50       73.068825        0.344623
FIRE:   22 16:03:50       71.012661        0.331166
FIRE:   23 16:03:50       69.078721        0.317271
FIRE:   24 16:03:51       67.260661        0.302937
FIRE:   25 16:03:51       65.552349        0.288167
FIRE:   26 16:03:51       63.947913        0.272971
FIRE:   27 16:03:51       62.441788        0.257370
FIRE:   28 16:03:52       61.028766        0.241390
FIRE:   29 16:03:52       59.704044        0.225072
FIRE:   30 16:03:52       58.463258        0.208466
FIRE:   31 16:03:52       57.302507        0.195566
FIRE:   32 16:03:53       56.218977        0.187225
FIRE:   33 16:03:53       55.210243        0.178073
FIRE:   34 16:03:53       54.274096        0.168147
FIRE:   35 16:03:54       53.408490        0.157495
FIRE:   36 16:03:54       52.611474        0.146174
FIRE:   37 16:03:54       51.881126        0.134254
FIRE:   38 16:03:54       51.215467        0.122625
FIRE:   39 16:03:55       50.612380        0.113360
FIRE:   40 16:03:55       50.069522        0.107610
FIRE:   41 16:03:55       49.584252        0.106747
FIRE:   42 16:03:55       49.153571        0.104764
FIRE:   43 16:03:56       48.774101        0.101619
FIRE:   44 16:03:56       48.442106        0.097292
