      Step     Time          Energy          fmax
FIRE:    0 22:14:37   -16636.087891       14.716038
FIRE:    1 22:14:39   -16640.904297       10.064637
FIRE:    2 22:14:41   -16644.310547        6.251390
FIRE:    3 22:14:42   -16646.697266        3.794717
FIRE:    4 22:14:44   -16648.369141        2.203985
FIRE:    5 22:14:46   -16649.533203        1.641094
FIRE:    6 22:14:48   -16650.333984        1.475529
FIRE:    7 22:14:50   -16650.869141        1.574582
FIRE:    8 22:14:51   -16651.189453        1.506467
FIRE:    9 22:14:53   -16651.318359        1.328797
FIRE:   10 22:14:55   -16651.365234        1.282585
FIRE:   11 22:14:57   -16651.453125        1.193827
FIRE:   12 22:14:58   -16651.566406        1.069097
FIRE:   13 22:15:00   -16651.693359        0.916446
FIRE:   14 22:15:02   -16651.818359        0.743747
FIRE:   15 22:15:04   -16651.921875        0.557715
FIRE:   16 22:15:05   -16652.001953        0.363876
FIRE:   17 22:15:07   -16652.060547        0.325548
FIRE:   18 22:15:09   -16652.091797        0.447635
FIRE:   19 22:15:11   -16652.105469        0.540885
FIRE:   20 22:15:13   -16652.107422        0.531343
FIRE:   21 22:15:14   -16652.115234        0.512607
FIRE:   22 22:15:16   -16652.125000        0.485275
FIRE:   23 22:15:18   -16652.136719        0.450267
FIRE:   24 22:15:20   -16652.148438        0.408674
FIRE:   25 22:15:22   -16652.160156        0.361704
FIRE:   26 22:15:23   -16652.173828        0.310746
FIRE:   27 22:15:25   -16652.185547        0.251454
FIRE:   28 22:15:27   -16652.197266        0.184574
FIRE:   29 22:15:29   -16652.207031        0.112330
FIRE:   30 22:15:31   -16652.212891        0.095663
      Step     Time          Energy          fmax
FIRE:    0 22:23:08   -22330.103516       56.074173
FIRE:    1 22:23:11   -22390.294922       45.718319
FIRE:    2 22:23:13   -22436.580078       36.503433
FIRE:    3 22:23:16   -22471.037109       28.697063
FIRE:    4 22:23:18   -22497.439453       23.099407
FIRE:    5 22:23:20   -22518.011719       18.858086
FIRE:    6 22:23:23   -22533.916016       15.391499
FIRE:    7 22:23:25   -22546.087891       12.441336
FIRE:    8 22:23:27   -22555.310547       10.042363
FIRE:    9 22:23:30   -22562.046875        7.960644
FIRE:   10 22:23:32   -22566.617188        5.949183
FIRE:   11 22:23:35   -22569.458984        4.059525
FIRE:   12 22:23:37   -22571.029297        2.671237
FIRE:   13 22:23:39   -22571.781250        2.008704
FIRE:   14 22:23:41   -22572.119141        2.341490
FIRE:   15 22:23:44   -22575.169922        1.941614
FIRE:   16 22:23:46   -22577.769531        1.792848
FIRE:   17 22:23:48   -22579.765625        1.818873
FIRE:   18 22:23:50   -22581.421875        1.911594
FIRE:   19 22:23:52   -22582.998047        1.953659
FIRE:   20 22:23:55   -22584.611328        1.895128
FIRE:   21 22:23:57   -22586.269531        1.750203
FIRE:   22 22:23:59   -22587.875000        1.559846
FIRE:   23 22:24:01   -22589.373047        1.366305
FIRE:   24 22:24:04   -22590.736328        1.192717
FIRE:   25 22:24:06   -22591.992188        1.038889
FIRE:   26 22:24:08   -22593.156250        0.894247
FIRE:   27 22:24:11   -22594.269531        0.850099
FIRE:   28 22:24:13   -22595.343750        0.806965
FIRE:   29 22:24:16   -22596.390625        0.755045
FIRE:   30 22:24:18   -22597.398438        0.697914
FIRE:   31 22:24:21   -22598.376953        0.691936
FIRE:   32 22:24:23   -22599.308594        0.667089
FIRE:   33 22:24:26   -22600.193359        0.608195
FIRE:   34 22:24:28   -22601.044922        0.570120
FIRE:   35 22:24:31   -22601.873047        0.544550
FIRE:   36 22:24:33   -22602.675781        0.513873
FIRE:   37 22:24:36   -22603.451172        0.510785
FIRE:   38 22:24:38   -22604.195312        0.485184
FIRE:   39 22:24:41   -22604.931641        0.443291
FIRE:   40 22:24:43   -22605.648438        0.440360
FIRE:   41 22:24:46   -22606.355469        0.451018
FIRE:   42 22:24:48   -22607.046875        0.446894
FIRE:   43 22:24:50   -22607.720703        0.429207
FIRE:   44 22:24:53   -22608.373047        0.403423
FIRE:   45 22:24:55   -22609.005859        0.422558
FIRE:   46 22:24:58   -22609.615234        0.460229
FIRE:   47 22:25:00   -22610.203125        0.495502
FIRE:   48 22:25:03   -22610.777344        0.530152
FIRE:   49 22:25:05   -22611.328125        0.566483
FIRE:   50 22:25:08   -22611.863281        0.605600
FIRE:   51 22:25:10   -22612.382812        0.646933
FIRE:   52 22:25:12   -22612.882812        0.688834
FIRE:   53 22:25:15   -22613.376953        0.729300
FIRE:   54 22:25:17   -22613.867188        0.766360
FIRE:   55 22:25:19   -22614.341797        0.797943
FIRE:   56 22:25:22   -22614.812500        0.821592
FIRE:   57 22:25:24   -22615.281250        0.834244
FIRE:   58 22:25:26   -22615.728516        0.832243
FIRE:   59 22:25:29   -22616.164062        0.811870
FIRE:   60 22:25:31   -22616.585938        0.770633
FIRE:   61 22:25:34   -22616.992188        0.709275
FIRE:   62 22:25:36   -22617.359375        0.633268
FIRE:   63 22:25:39   -22617.712891        0.552812
FIRE:   64 22:25:41   -22618.035156        0.546276
FIRE:   65 22:25:44   -22618.343750        0.656320
FIRE:   66 22:25:46   -22618.634766        0.744657
FIRE:   67 22:25:49   -22618.929688        0.789092
FIRE:   68 22:25:51   -22619.226562        0.777074
FIRE:   69 22:25:53   -22619.517578        0.708743
FIRE:   70 22:25:56   -22619.810547        0.596151
FIRE:   71 22:25:58   -22620.093750        0.458883
FIRE:   72 22:26:00   -22620.367188        0.422872
FIRE:   73 22:26:03   -22620.634766        0.478692
FIRE:   74 22:26:05   -22620.892578        0.515972
FIRE:   75 22:26:08   -22621.144531        0.507483
FIRE:   76 22:26:10   -22621.384766        0.480592
FIRE:   77 22:26:12   -22621.617188        0.471086
