      Step     Time          Energy          fmax
FIRE:    0 22:09:13   -22610.054688        0.459374
FIRE:    1 22:09:15   -22610.285156        0.417447
FIRE:    2 22:09:18   -22610.664062        0.339130
FIRE:    3 22:09:20   -22611.130859        0.286461
FIRE:    4 22:09:22   -22611.564453        0.236948
FIRE:    5 22:09:24   -22611.898438        0.190137
FIRE:    6 22:09:27   -22612.125000        0.192427
FIRE:    7 22:09:29   -22612.298828        0.206332
FIRE:    8 22:09:31   -22612.488281        0.216095
FIRE:    9 22:09:34   -22612.697266        0.196805
FIRE:   10 22:09:36   -22612.898438        0.160299
FIRE:   11 22:09:38   -22613.087891        0.122796
FIRE:   12 22:09:41   -22613.255859        0.128933
FIRE:   13 22:09:43   -22613.410156        0.163780
FIRE:   14 22:09:45   -22613.570312        0.171251
FIRE:   15 22:09:48   -22613.730469        0.146459
FIRE:   16 22:09:50   -22613.873047        0.103544
FIRE:   17 22:09:53   -22614.005859        0.094134
FIRE:   18 22:09:55   -22614.130859        0.100184
FIRE:   19 22:09:57   -22614.253906        0.093473
FIRE:   20 22:10:00   -22614.367188        0.094240
FIRE:   21 22:10:02   -22614.484375        0.087414
FIRE:   22 22:10:05   -22614.593750        0.078927
