      Step     Time          Energy          fmax
FIRE:    0 22:17:32    -7700.615234       97.201591
FIRE:    1 22:17:35    -8000.276367       98.064140
FIRE:    2 22:17:37    -8288.750977       98.635483
FIRE:    3 22:17:40    -8570.388672       98.134850
FIRE:    4 22:17:42    -8847.684570       96.226524
FIRE:    5 22:17:45    -9121.081055       93.169014
FIRE:    6 22:17:47    -9390.016602       89.518547
FIRE:    7 22:17:50    -9653.591797       85.714348
FIRE:    8 22:17:52    -9911.413086       81.814117
FIRE:    9 22:17:55   -10163.074219       77.599037
FIRE:   10 22:17:57   -10408.302734       72.965744
FIRE:   11 22:17:59   -10646.970703       68.161949
FIRE:   12 22:18:02   -10879.074219       65.567513
FIRE:   13 22:18:04   -11104.668945       62.891113
FIRE:   14 22:18:07   -11323.789062       60.577454
FIRE:   15 22:18:09   -11536.589844       58.153194
FIRE:   16 22:18:12   -11743.060547       55.720284
FIRE:   17 22:18:14   -11943.290039       53.297585
FIRE:   18 22:18:17   -12137.265625       50.832939
FIRE:   19 22:18:20   -12324.925781       48.303486
FIRE:   20 22:18:22   -12506.333984       45.754375
FIRE:   21 22:18:25   -12681.534180       43.477005
FIRE:   22 22:18:28   -12850.699219       42.612198
FIRE:   23 22:18:31   -13013.917969       41.784824
FIRE:   24 22:18:33   -13171.458984       40.980434
FIRE:   25 22:18:36   -13323.437500       40.188679
FIRE:   26 22:18:38   -13470.061523       39.404240
FIRE:   27 22:18:41   -13611.528320       38.622631
FIRE:   28 22:18:43   -13748.099609       37.839737
FIRE:   29 22:18:46   -13879.994141       37.049644
FIRE:   30 22:18:49   -14007.470703       36.548920
FIRE:   31 22:18:51   -14130.736328       36.120762
FIRE:   32 22:18:54   -14250.081055       35.668571
FIRE:   33 22:18:56   -14365.609375       35.181450
FIRE:   34 22:18:59   -14477.540039       34.650093
FIRE:   35 22:19:02   -14585.979492       34.065075
FIRE:   36 22:19:04   -14691.122070       33.417103
FIRE:   37 22:19:07   -14792.984375       32.699139
FIRE:   38 22:19:09   -14891.662109       31.904856
FIRE:   39 22:19:12   -14987.225586       31.030920
FIRE:   40 22:19:14   -15079.775391       30.076210
FIRE:   41 22:19:17   -15169.306641       29.042492
FIRE:   42 22:19:19   -15255.923828       27.934914
FIRE:   43 22:19:22   -15339.703125       26.760323
FIRE:   44 22:19:24   -15420.679688       25.529173
FIRE:   45 22:19:27   -15498.974609       24.252699
FIRE:   46 22:19:29   -15574.598633       22.944042
FIRE:   47 22:19:32   -15647.728516       21.616577
FIRE:   48 22:19:34   -15718.361328       20.284304
FIRE:   49 22:19:36   -15786.611328       18.961134
FIRE:   50 22:19:39   -15852.515625       17.987873
