      Step     Time          Energy          fmax
FIRE:    0 20:29:55       17.566887        0.112636
FIRE:    1 20:29:55       17.552178        0.109842
FIRE:    2 20:29:56       17.524632        0.104366
FIRE:    3 20:29:56       17.487676        0.096430
FIRE:    4 20:29:56       17.445705        0.086370
FIRE:    5 20:29:56       17.403335        0.074597
FIRE:    6 20:29:56       17.364601        0.061614
FIRE:    7 20:29:56       17.332241        0.048043
FIRE:    8 20:29:56       17.305042        0.033299
FIRE:    9 20:29:56       17.284263        0.034468
FIRE:   10 20:29:56       17.269035        0.038724
FIRE:   11 20:29:57       17.257251        0.043478
FIRE:   12 20:29:57       17.247286        0.043439
FIRE:   13 20:29:57       17.238955        0.037586
FIRE:   14 20:29:57       17.232795        0.034670
FIRE:   15 20:29:57       17.231149        0.033776
FIRE:   16 20:29:57       17.228017        0.032017
FIRE:   17 20:29:57       17.223696        0.029453
FIRE:   18 20:29:57       17.218586        0.026171
FIRE:   19 20:29:57       17.213132        0.023250
FIRE:   20 20:29:58       17.207774        0.022308
FIRE:   21 20:29:58       17.202887        0.020890
FIRE:   22 20:29:58       17.198357        0.018708
