      Step     Time          Energy          fmax
FIRE:    0 20:33:40      -55.176073        0.095287
FIRE:    1 20:33:40      -55.183259        0.090643
FIRE:    2 20:33:41      -55.195814        0.081706
FIRE:    3 20:33:42      -55.210727        0.069148
FIRE:    4 20:33:43      -55.224844        0.053927
FIRE:    5 20:33:43      -55.235982        0.040190
FIRE:    6 20:33:44      -55.243664        0.040166
FIRE:    7 20:33:45      -55.248861        0.044816
FIRE:    8 20:33:45      -55.253169        0.040912
FIRE:    9 20:33:46      -55.256892        0.028334
FIRE:   10 20:33:47      -55.259668        0.030813
FIRE:   11 20:33:47      -55.261277        0.032534
FIRE:   12 20:33:48      -55.261837        0.031101
FIRE:   13 20:33:49      -55.262882        0.028336
FIRE:   14 20:33:49      -55.264274        0.024440
FIRE:   15 20:33:50      -55.265845        0.019712
      Step     Time          Energy          fmax
FIRE:    0 21:18:48     -112.252896        0.095287
FIRE:    1 21:18:50     -112.277285        0.090643
FIRE:    2 21:18:52     -112.319272        0.081702
FIRE:    3 21:18:53     -112.367787        0.069126
FIRE:    4 21:18:55     -112.411681        0.053847
FIRE:    5 21:18:57     -112.444191        0.040122
FIRE:    6 21:18:59     -112.465593        0.040341
FIRE:    7 21:19:01     -112.481098        0.045414
FIRE:    8 21:19:02     -112.497036        0.042481
FIRE:    9 21:19:04     -112.514424        0.031165
FIRE:   10 21:19:06     -112.530538        0.031078
FIRE:   11 21:19:08     -112.543185        0.034431
FIRE:   12 21:19:09     -112.555239        0.027474
FIRE:   13 21:19:11     -112.569921        0.027120
FIRE:   14 21:19:13     -112.584905        0.027246
FIRE:   15 21:19:15     -112.599465        0.024710
FIRE:   16 21:19:16     -112.617121        0.025457
FIRE:   17 21:19:18     -112.635405        0.021792
FIRE:   18 21:19:20     -112.653991        0.019192
