      Step     Time          Energy          fmax
FIRE:    0 23:38:43   -22627.451172        0.189016
FIRE:    1 23:38:54   -22627.472656        0.180569
FIRE:    2 23:39:04   -22627.507812        0.166833
FIRE:    3 23:39:15   -22627.554688        0.152341
FIRE:    4 23:39:25   -22627.597656        0.139154
FIRE:    5 23:39:36   -22627.636719        0.123598
FIRE:    6 23:39:46   -22627.664062        0.110016
FIRE:    7 23:39:57   -22627.683594        0.110216
FIRE:    8 23:40:07   -22627.697266        0.113258
FIRE:    9 23:40:17   -22627.708984        0.118234
FIRE:   10 23:40:28   -22627.718750        0.124842
FIRE:   11 23:40:38   -22627.726562        0.131951
FIRE:   12 23:40:49   -22627.734375        0.138270
FIRE:   13 23:41:00   -22627.744141        0.143607
FIRE:   14 23:41:10   -22627.761719        0.148991
FIRE:   15 23:41:21   -22627.771484        0.154383
FIRE:   16 23:41:31   -22627.789062        0.157307
FIRE:   17 23:41:42   -22627.806641        0.153459
FIRE:   18 23:41:52   -22627.824219        0.130518
FIRE:   19 23:42:03   -22627.837891        0.110985
FIRE:   20 23:42:13   -22627.841797        0.099921
FIRE:   21 23:42:24   -22627.853516        0.080028
FIRE:   22 23:42:34   -22627.859375        0.061920
FIRE:   23 23:42:45   -22627.861328        0.066521
FIRE:   24 23:42:56   -22627.867188        0.068549
FIRE:   25 23:43:06   -22627.867188        0.065670
FIRE:   26 23:43:17   -22627.867188        0.057411
FIRE:   27 23:43:27   -22627.869141        0.043047
FIRE:   28 23:43:38   -22627.871094        0.036827
FIRE:   29 23:43:48   -22627.875000        0.022579
