file,system_id,regime,num_atoms,iterations,wall_time_s,rmse_ang,pdf_mse,adf_mse,macewall_best_loss
B4C_mp-1238815_crystalline_30_cell040_idx00000_seed001142000.npz,B4C_mp-1238815,crystalline_30,9170,12,4.743298866087571,0.19535007686899145,33434.8828125,6163.23681640625,-62964.43947248023
B4C_mp-1238815_nanocrystalline_cell040_idx00001_seed001142001.npz,B4C_mp-1238815,nanocrystalline,8980,12,0.8683680950198323,0.19728341045307946,19698.650390625,4568.42041015625,-60738.19253728708
B4C_mp-1238815_amorphous_cell040_idx00002_seed001142002.npz,B4C_mp-1238815,amorphous,8610,12,0.8128029149957001,0.20103326126932566,6250.3408203125,5580.8525390625,-53491.55691907092
B4C_mp-1238815_SRO_cell040_idx00003_seed001142003.npz,B4C_mp-1238815,SRO,8610,12,0.8103890609927475,0.20083879088159712,7639.01953125,4254.65185546875,-55451.781972274104
B4C_mp-1238815_LRO_cell040_idx00004_seed001142004.npz,B4C_mp-1238815,LRO,8610,12,0.8070088948588818,0.19970574867231392,13127.7578125,3554.591064453125,-57356.57182180267
B4C_mp-1238815_MRO_cell040_idx00005_seed001142005.npz,B4C_mp-1238815,MRO,8235,12,0.742515834979713,0.2031598222191778,8087.3662109375,2761.762451171875,-53398.77062238955
B4C_mp-1238815_crystalline_30_cell040_idx00006_seed001142006.npz,B4C_mp-1238815,crystalline_30,9170,12,0.9077647689264268,0.1957378087616223,34338.91015625,5988.328125,-62934.198454274454
B4C_mp-1238815_nanocrystalline_cell040_idx00007_seed001142007.npz,B4C_mp-1238815,nanocrystalline,8980,12,0.8699839052278548,0.197114267121608,18672.921875,4481.77001953125,-60633.92435352749
B4C_mp-1238815_amorphous_cell040_idx00008_seed001142008.npz,B4C_mp-1238815,amorphous,8610,12,0.8158016358502209,0.20090744932001256,6019.99267578125,5460.89306640625,-53475.21102054405
B4C_mp-1238815_SRO_cell040_idx00009_seed001142009.npz,B4C_mp-1238815,SRO,8610,12,0.8123462668154389,0.20084961302034887,7215.9873046875,4260.42578125,-55466.488622715246
B4C_mp-1238815_LRO_cell040_idx00010_seed001142010.npz,B4C_mp-1238815,LRO,8610,12,0.8069539088755846,0.1999864005464424,14133.9423828125,3588.5361328125,-57324.43228832552
B4C_mp-1238815_MRO_cell040_idx00011_seed001142011.npz,B4C_mp-1238815,MRO,8235,12,0.7444920979905874,0.20298926232370748,7960.31884765625,2754.314697265625,-53529.62916185021
